threads size iterations precision time
1 2 1597388920 9.290507e-04 0.000
1 4 1597388920 8.637158e-04 0.000
1 8 1597388920 9.516504e-04 0.000
1 16 1597388920 9.866165e-04 0.000
1 32 1597388920 9.940066e-04 0.000
1 64 1597388920 9.972884e-04 0.001
1 128 1597388920 9.987003e-04 0.003
1 256 1597388920 9.997889e-04 0.005
1 512 1597388920 9.968687e-04 0.011
1 1024 1597388920 9.975512e-04 0.022
1 2048 1597388920 9.991673e-04 0.044
1 4096 1597388920 9.996832e-04 0.087
1 8192 1597388920 9.973784e-04 0.191
1 16384 1597388920 9.962115e-04 0.360
1 32768 1597388920 9.981108e-04 0.752
1 65536 1597388920 9.990605e-04 1.513
2 2 1597388920 3.529169e-02 0.000
2 4 1597388920 8.632325e-04 0.000
2 8 1597388920 2.189687e-02 0.000
2 16 1597388920 4.509059e-02 0.000
2 32 1597388920 1.147874e-02 0.000
2 64 1597388920 1.780986e-02 0.001
2 128 1597388920 3.150405e-01 0.001
2 256 1597388920 1.495303e-01 0.001
2 512 1597388920 1.739859e-01 0.004
2 1024 1597388920 2.582419e-01 0.007
2 2048 1597388920 7.847199e-02 0.016
2 4096 1597388920 4.624251e-01 0.020
2 8192 1597388920 1.303851e+00 0.019
2 16384 1597388920 7.107774e-01 0.060
2 32768 1597388920 5.949048e-01 0.311
2 65536 1597388920 9.372414e-02 0.809
3 2 1597388920 4.975124e-01 0.000
3 4 1597388920 1.544881e-03 0.000
3 8 1597388920 6.838401e-03 0.000
3 16 1597388920 3.358167e-01 0.000
3 32 1597388920 1.490857e-01 0.000
3 64 1597388920 1.834241e-01 0.000
3 128 1597388920 1.818518e-02 0.002
3 256 1597388920 1.640398e-01 0.001
3 512 1597388920 1.097430e+00 0.001
3 1024 1597388920 2.670136e-01 0.006
3 2048 1597388920 1.918502e-01 0.007
3 4096 1597388920 7.394307e-02 0.065
3 8192 1597388920 7.705474e-02 0.065
3 16384 1597388920 5.486790e-01 0.053
3 32768 1597388920 1.496861e-01 0.273
3 65536 1597388920 2.070326e-03 0.851
4 2 1597388920 1.000000e+00 0.000
4 4 1597388920 1.049290e-01 0.000
4 8 1597388920 1.511153e-01 0.000
4 16 1597388920 2.574578e-01 0.000
4 32 1597388920 2.891315e+00 0.000
4 64 1597388920 1.633586e-01 0.000
4 128 1597388920 3.928047e-01 0.000
4 256 1597388920 4.089269e-02 0.002
4 512 1597388920 4.688183e-02 0.005
