threads size iterations precision time
11 256 1331 9.997889e-04 0.013
11 512 1360 9.968687e-04 0.012
11 1024 1373 9.975512e-04 0.020
11 2048 1379 9.991673e-04 0.015
11 4096 1382 9.996832e-04 0.019
11 8192 1384 9.973784e-04 0.036
11 16384 1385 9.962115e-04 0.048
11 32768 1385 9.981108e-04 0.084
11 65536 1385 9.990605e-04 0.164
12 2 10 9.290507e-04 0.000
12 4 32 8.637158e-04 0.000
12 8 101 9.516504e-04 0.001
12 16 303 9.866165e-04 0.003
12 32 702 9.940066e-04 0.006
12 64 1084 9.972884e-04 0.010
12 128 1264 9.987003e-04 0.010
12 256 1331 9.997889e-04 0.013
12 512 1360 9.968687e-04 0.014
12 1024 1373 9.975512e-04 0.013
12 2048 1379 9.991673e-04 0.016
12 4096 1382 9.996832e-04 0.022
12 8192 1384 9.973784e-04 0.027
12 16384 1385 9.962115e-04 0.042
12 32768 1385 9.981108e-04 0.080
12 65536 1385 9.990605e-04 0.151
13 2 10 9.290507e-04 0.000
13 4 32 8.637158e-04 0.000
13 8 101 9.516504e-04 0.001
13 16 303 9.866165e-04 0.004
13 32 702 9.940066e-04 0.007
13 64 1084 9.972884e-04 0.010
13 128 1264 9.987003e-04 0.011
13 256 1331 9.997889e-04 0.014
13 512 1360 9.968687e-04 0.013
13 1024 1373 9.975512e-04 0.014
13 2048 1379 9.991673e-04 0.016
13 4096 1382 9.996832e-04 0.019
13 8192 1384 9.973784e-04 0.030
13 16384 1385 9.962115e-04 0.043
13 32768 1385 9.981108e-04 0.077
13 65536 1385 9.990605e-04 0.140
14 2 10 9.290507e-04 0.000
14 4 32 8.637158e-04 0.000
14 8 101 9.516504e-04 0.001
14 16 303 9.866165e-04 0.004
14 32 702 9.940066e-04 0.008
14 64 1084 9.972884e-04 0.013
14 128 1264 9.987003e-04 0.012
14 256 1331 9.997889e-04 0.015
14 512 1360 9.968687e-04 0.014
14 1024 1373 9.975512e-04 0.015
14 2048 1379 9.991673e-04 0.019
14 4096 1382 9.996832e-04 0.020
14 8192 1384 9.973784e-04 0.029
14 16384 1385 9.962115e-04 0.044
14 32768 1385 9.981108e-04 0.070
14 65536 1385 9.990605e-04 0.127
15 2 10 9.290507e-04 0.000
15 4 32 8.637158e-04 0.000
15 8 101 9.516504e-04 0.001
