threads size iterations precision time
5 1024 1373 9.975512e-04 0.015
5 2048 1379 9.991673e-04 0.022
5 4096 1382 9.996832e-04 0.038
5 8192 1384 9.973784e-04 0.062
5 16384 1385 9.962115e-04 0.115
5 32768 1385 9.981108e-04 0.222
5 65536 1385 9.990605e-04 0.432
6 2 10 9.290507e-04 0.000
6 4 32 8.637158e-04 0.000
6 8 101 9.516504e-04 0.001
6 16 303 9.866165e-04 0.002
6 32 702 9.940066e-04 0.005
6 64 1084 9.972884e-04 0.010
6 128 1264 9.987003e-04 0.009
6 256 1331 9.997889e-04 0.011
6 512 1360 9.968687e-04 0.012
6 1024 1373 9.975512e-04 0.014
6 2048 1379 9.991673e-04 0.022
6 4096 1382 9.996832e-04 0.034
6 8192 1384 9.973784e-04 0.055
6 16384 1385 9.962115e-04 0.100
6 32768 1385 9.981108e-04 0.186
6 65536 1385 9.990605e-04 0.361
7 2 10 9.290507e-04 0.000
7 4 32 8.637158e-04 0.000
7 8 101 9.516504e-04 0.001
7 16 303 9.866165e-04 0.002
7 32 702 9.940066e-04 0.005
7 64 1084 9.972884e-04 0.008
7 128 1264 9.987003e-04 0.009
7 256 1331 9.997889e-04 0.012
7 512 1360 9.968687e-04 0.013
7 1024 1373 9.975512e-04 0.014
7 2048 1379 9.991673e-04 0.019
7 4096 1382 9.996832e-04 0.030
7 8192 1384 9.973784e-04 0.049
7 16384 1385 9.962115e-04 0.086
7 32768 1385 9.981108e-04 0.162
7 65536 1385 9.990605e-04 0.316
8 2 10 9.290507e-04 0.000
8 4 32 8.637158e-04 0.000
8 8 101 9.516504e-04 0.001
8 16 303 9.866165e-04 0.002
8 32 702 9.940066e-04 0.005
8 64 1084 9.972884e-04 0.016
8 128 1264 9.987003e-04 0.010
8 256 1331 9.997889e-04 0.011
8 512 1360 9.968687e-04 0.029
8 1024 1373 9.975512e-04 0.015
8 2048 1379 9.991673e-04 0.019
8 4096 1382 9.996832e-04 0.027
8 8192 1384 9.973784e-04 0.044
8 16384 1385 9.962115e-04 0.077
8 32768 1385 9.981108e-04 0.142
8 65536 1385 9.990605e-04 0.275
9 2 10 9.290507e-04 0.000
9 4 32 8.637158e-04 0.001
9 8 101 9.516504e-04 0.001
9 16 303 9.866165e-04 0.008
9 32 702 9.940066e-04 0.005
9 64 1084 9.972884e-04 0.020
9 128 1264 9.987003e-04 0.011
9 256 1331 9.997889e-04 0.018
9 512 1360 9.968687e-04 0.013
9 1024 1373 9.975512e-04 0.016
9 2048 1379 9.991673e-04 0.018
9 4096 1382 9.996832e-04 0.028
9 8192 1384 9.973784e-04 0.065
9 16384 1385 9.962115e-04 0.072
9 32768 1385 9.981108e-04 0.129
9 65536 1385 9.990605e-04 0.249
10 2 10 9.290507e-04 0.000
10 4 32 8.637158e-04 0.001
10 8 101 9.516504e-04 0.001
10 16 303 9.866165e-04 0.003
10 32 702 9.940066e-04 0.006
10 64 1084 9.972884e-04 0.009
10 128 1264 9.987003e-04 0.011
10 256 1331 9.997889e-04 0.012
10 512 1360 9.968687e-04 0.013
10 1024 1373 9.975512e-04 0.037
10 2048 1379 9.991673e-04 0.019
10 4096 1382 9.996832e-04 0.025
10 8192 1384 9.973784e-04 0.042
10 16384 1385 9.962115e-04 0.067
10 32768 1385 9.981108e-04 0.119
10 65536 1385 9.990605e-04 0.225
11 2 10 9.290507e-04 0.000
11 4 32 8.637158e-04 0.001
11 8 101 9.516504e-04 0.001
11 16 303 9.866165e-04 0.003
11 32 702 9.940066e-04 0.006
11 64 1084 9.972884e-04 0.009
11 128 1264 9.987003e-04 0.012
11 256 1331 9.997889e-04 0.013
11 512 1360 9.968687e-04 0.014
11 1024 1373 9.975512e-04 0.015
11 2048 1379 9.991673e-04 0.019
11 4096 1382 9.996832e-04 0.057
11 8192 1384 9.973784e-04 0.057
11 16384 1385 9.962115e-04 0.085
11 32768 1385 9.981108e-04 0.110
11 65536 1385 9.990605e-04 0.205
12 2 10 9.290507e-04 0.000
12 4 32 8.637158e-04 0.001
12 8 101 9.516504e-04 0.001
12 16 303 9.866165e-04 0.024
12 32 702 9.940066e-04 0.007
12 64 1084 9.972884e-04 0.013
12 128 1264 9.987003e-04 0.012
12 256 1331 9.997889e-04 0.013
12 512 1360 9.968687e-04 0.015
12 1024 1373 9.975512e-04 0.051
12 2048 1379 9.991673e-04 0.020
12 4096 1382 9.996832e-04 0.025
12 8192 1384 9.973784e-04 0.037
12 16384 1385 9.962115e-04 0.061
12 32768 1385 9.981108e-04 0.104
12 65536 1385 9.990605e-04 0.191
13 2 10 9.290507e-04 0.000
13 4 32 8.637158e-04 0.001
13 8 101 9.516504e-04 0.001
13 16 303 9.866165e-04 0.004
13 32 702 9.940066e-04 0.007
13 64 1084 9.972884e-04 0.011
13 128 1264 9.987003e-04 0.018
13 256 1331 9.997889e-04 0.014
13 512 1360 9.968687e-04 0.078
13 1024 1373 9.975512e-04 0.016
13 2048 1379 9.991673e-04 0.019
13 4096 1382 9.996832e-04 0.026
13 8192 1384 9.973784e-04 0.035
13 16384 1385 9.962115e-04 0.058
13 32768 1385 9.981108e-04 0.097
13 65536 1385 9.990605e-04 0.212
14 2 10 9.290507e-04 0.000
14 4 32 8.637158e-04 0.001
14 8 101 9.516504e-04 0.001
14 16 303 9.866165e-04 0.004
14 32 702 9.940066e-04 0.008
14 64 1084 9.972884e-04 0.031
14 128 1264 9.987003e-04 0.013
14 256 1331 9.997889e-04 0.014
14 512 1360 9.968687e-04 0.016
14 1024 1373 9.975512e-04 0.017
14 2048 1379 9.991673e-04 0.020
14 4096 1382 9.996832e-04 0.024
14 8192 1384 9.973784e-04 0.034
14 16384 1385 9.962115e-04 0.055
14 32768 1385 9.981108e-04 0.092
14 65536 1385 9.990605e-04 0.167
15 2 10 9.290507e-04 0.001
15 4 32 8.637158e-04 0.001
15 8 101 9.516504e-04 0.002
15 16 303 9.866165e-04 0.099
15 32 702 9.940066e-04 0.073
15 64 1084 9.972884e-04 0.012
15 128 1264 9.987003e-04 0.043
15 256 1331 9.997889e-04 0.015
15 512 1360 9.968687e-04 0.016
15 1024 1373 9.975512e-04 0.130
15 2048 1379 9.991673e-04 0.022
15 4096 1382 9.996832e-04 0.025
15 8192 1384 9.973784e-04 0.035
15 16384 1385 9.962115e-04 0.052
15 32768 1385 9.981108e-04 0.251
15 65536 1385 9.990605e-04 0.159
16 2 10 9.290507e-04 0.136
16 4 32 8.637158e-04 0.120
16 8 101 9.516504e-04 0.022
16 16 303 9.866165e-04 0.025
16 32 702 9.940066e-04 0.166
16 64 1084 9.972884e-04 0.136
16 128 1264 9.987003e-04 0.165
16 256 1331 9.997889e-04 0.119
16 512 1360 9.968687e-04 0.040
16 1024 1373 9.975512e-04 0.059
16 2048 1379 9.991673e-04 0.221
16 4096 1382 9.996832e-04 0.049
16 8192 1384 9.973784e-04 0.197
16 16384 1385 9.962115e-04 0.186
16 32768 1385 9.981108e-04 0.151
16 65536 1385 9.990605e-04 0.502
