vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00030 0.00030
201 0.00059 0.00062
301 0.00088 0.00088
401 0.00118 0.00120
501 0.00153 0.00154
601 0.00174 0.00175
701 0.00204 0.00206
801 0.00234 0.00233
901 0.00262 0.00262
1001 0.00325 0.00291
1101 0.00319 0.00321
1201 0.00349 0.00347
1301 0.00382 0.00377
1401 0.00407 0.00405
1501 0.00439 0.00436
1601 0.00467 0.00465
1701 0.00495 0.00493
1801 0.00542 0.00522
1901 0.00552 0.00551
2001 0.00580 0.00579
2101 0.00609 0.00609
2201 0.00645 0.00641
2301 0.00668 0.00667
2401 0.00731 0.00697
2501 0.00727 0.00727
2601 0.00763 0.00754
2701 0.00784 0.00783
2801 0.00813 0.00824
2901 0.00847 0.00842
3001 0.00870 0.00873
3101 0.00901 0.00906
3201 0.00929 0.00928
3301 0.00986 0.00957
3401 0.00987 0.00994
3501 0.01024 0.01018
3601 0.01065 0.01060
3701 0.01086 0.01073
3801 0.01122 0.01110
3901 0.01157 0.01129
4001 0.01178 0.01160
4101 0.01190 0.01189
4201 0.01224 0.01217
4301 0.01249 0.01261
4401 0.01277 0.01274
4501 0.01312 0.01303
4601 0.01335 0.01332
4701 0.01364 0.01360
4801 0.01445 0.01396
4901 0.01422 0.01510
5001 0.01450 0.01448
5101 0.01503 0.01477
5201 0.01507 0.01512
5301 0.01542 0.01535
5401 0.01564 0.01569
5501 0.01595 0.01596
5601 0.01648 0.01623
5701 0.01653 0.01661
5801 0.01681 0.01688
5901 0.01710 0.01719
6001 0.01738 0.01763
6101 0.01767 0.01787
6201 0.01796 0.01797
6301 0.01827 0.01825
6401 0.01856 0.01852
6501 0.01889 0.01883
6601 0.01917 0.01919
6701 0.01971 0.01941
6801 0.01972 0.01995
6901 0.02004 0.02004
7001 0.02037 0.02028
7101 0.02066 0.02055
7201 0.02111 0.02105
7301 0.02145 0.02114
7401 0.02165 0.02149
7501 0.02280 0.02180
7601 0.02215 0.02212
7701 0.02232 0.02245
7801 0.02267 0.02260
7901 0.02440 0.02427
8001 0.02330 0.02328
8101 0.02349 0.02358
8201 0.02435 0.02374
8301 0.02507 0.02415
8401 0.02461 0.02433
8501 0.02467 0.02480
8601 0.02515 0.02491
8701 0.02577 0.02520
8801 0.02562 0.02558
8901 0.02580 0.02598
9001 0.02608 0.02606
9101 0.02677 0.02635
9201 0.02673 0.02663
9301 0.02724 0.02694
9401 0.02724 0.02751
9501 0.02779 0.02782
9601 0.02782 0.02780
9701 0.02811 0.02844
9801 0.02846 0.02836
9901 0.02870 0.02892
10001 0.02900 0.02900
10101 0.02946 0.02935
10201 0.03084 0.02963
10301 0.02986 0.03018
10401 0.03017 0.03010
10501 0.03062 0.03067
10601 0.03073 0.03106
10701 0.03111 0.03117
10801 0.03147 0.03148
10901 0.03158 0.03156
11001 0.03215 0.03201
11101 0.03248 0.03226
11201 0.03277 0.03248
11301 0.03320 0.03275
11401 0.03304 0.03345
11501 0.03354 0.03331
11601 0.03381 0.03372
11701 0.03402 0.03429
11801 0.03442 0.03421
11901 0.03452 0.03502
12001 0.03480 0.03569
12101 0.03539 0.03509
12201 0.03561 0.03581
12301 0.03577 0.03662
12401 0.03605 0.03650
12501 0.03646 0.03621
12601 0.03663 0.03653
12701 0.03683 0.03703
12801 0.03736 0.03707
12901 0.03741 0.03753
13001 0.03769 0.03838
13101 0.03820 0.03832
13201 0.03826 0.03872
13301 0.03910 0.03853
13401 0.03885 0.03881
13501 0.03913 0.03947
13601 0.03943 0.03940
13701 0.04004 0.03969
13801 0.04057 0.03999
13901 0.04030 0.04092
14001 0.04059 0.04105
14101 0.04092 0.04106
14201 0.04128 0.04153
14301 0.04192 0.04145
