vectorsize sequential_time parallel_time
24501 0.00388 0.00393
24601 0.00404 0.00393
24701 0.00391 0.00393
24801 0.00408 0.00396
24901 0.00387 0.00392
25001 0.00401 0.00400
25101 0.00391 0.00398
25201 0.00389 0.00399
25301 0.00402 0.00404
25401 0.00387 0.00400
25501 0.00399 0.00404
25601 0.00410 0.00404
25701 0.00394 0.00404
25801 0.00406 0.00406
25901 0.00410 0.00414
26001 0.00424 0.00407
26101 0.00423 0.00411
26201 0.00414 0.00412
26301 0.00422 0.00417
26401 0.00413 0.00414
26501 0.00416 0.00417
26601 0.00428 0.00418
26701 0.00424 0.00423
26801 0.00424 0.00421
26901 0.00436 0.00422
27001 0.00418 0.00431
27101 0.00430 0.00425
27201 0.00430 0.00428
27301 0.00420 0.00428
27401 0.00435 0.00429
27501 0.00450 0.00440
27601 0.00446 0.00441
27701 0.00425 0.00439
27801 0.00437 0.00446
27901 0.00426 0.00443
28001 0.00451 0.00442
28101 0.00446 0.00448
28201 0.00446 0.00444
28301 0.00443 0.00443
28401 0.00452 0.00446
28501 0.00457 0.00454
28601 0.00445 0.00451
28701 0.00457 0.00452
28801 0.00456 0.00455
28901 0.00437 0.00453
29001 0.00450 0.00457
29101 0.00459 0.00458
29201 0.00459 0.00461
29301 0.00459 0.00462
29401 0.00465 0.00463
29501 0.00455 0.00473
29601 0.00451 0.00467
29701 0.00465 0.00474
29801 0.00461 0.00474
29901 0.00458 0.00477
30001 0.00460 0.00476
30101 0.00461 0.00481
30201 0.00472 0.00480
30301 0.00477 0.00483
30401 0.00471 0.00488
30501 0.00479 0.00488
30601 0.00471 0.00487
30701 0.00468 0.00487
30801 0.00476 0.00494
30901 0.00465 0.00484
31001 0.00467 0.00486
31101 0.00478 0.00497
31201 0.00481 0.00497
31301 0.00482 0.00497
31401 0.00489 0.00493
31501 0.00481 0.00502
31601 0.00495 0.00497
31701 0.00495 0.00499
31801 0.00497 0.00500
31901 0.00491 0.00510
32001 0.00494 0.00507
32101 0.00492 0.00510
32201 0.00487 0.00506
32301 0.00502 0.00508
32401 0.00507 0.00517
32501 0.00504 0.00511
32601 0.00513 0.00519
32701 0.00509 0.00521
32801 0.00504 0.00523
32901 0.00497 0.00521
33001 0.00503 0.00521
33101 0.00510 0.00525
33201 0.00506 0.00526
33301 0.00512 0.00531
33401 0.00508 0.00536
33501 0.00510 0.00536
33601 0.00529 0.00537
33701 0.00525 0.00537
33801 0.00530 0.00538
33901 0.00523 0.00541
34001 0.00535 0.00541
34101 0.00504 0.00542
34201 0.00536 0.00545
34301 0.00533 0.00548
34401 0.00518 0.00549
34501 0.00528 0.00549
34601 0.00528 0.00552
34701 0.00537 0.00551
34801 0.00546 0.00553
34901 0.00526 0.00555
35001 0.00526 0.00550
35101 0.00536 0.00559
35201 0.00545 0.00558
35301 0.00550 0.00561
35401 0.00551 0.00565
35501 0.00558 0.00564
35601 0.00533 0.00564
35701 0.00545 0.00566
35801 0.00554 0.00571
35901 0.00560 0.00572
36001 0.00545 0.00575
36101 0.00547 0.00573
36201 0.00559 0.00578
36301 0.00550 0.00576
36401 0.00542 0.00576
36501 0.00561 0.00580
36601 0.00563 0.00585
36701 0.00559 0.00584
36801 0.00561 0.00584
36901 0.00560 0.00587
37001 0.00543 0.00590
37101 0.00564 0.00590
37201 0.00562 0.00590
37301 0.00573 0.00589
37401 0.00563 0.00594
37501 0.00570 0.00595
37601 0.00569 0.00597
37701 0.00585 0.00597
37801 0.00566 0.00601
37901 0.00590 0.00602
38001 0.00565 0.00601
38101 0.00582 0.00603
38201 0.00575 0.00604
38301 0.00576 0.00609
38401 0.00591 0.00608
38501 0.00598 0.00614
38601 0.00582 0.00613
38701 0.00591 0.00617
38801 0.00592 0.00619
38901 0.00582 0.00617
39001 0.00611 0.00624
39101 0.00605 0.00625
39201 0.00600 0.00625
39301 0.00607 0.00625
39401 0.00602 0.00625
39501 0.00601 0.00627
39601 0.00601 0.00626
39701 0.00590 0.00633
39801 0.00597 0.00637
39901 0.00616 0.00635
40001 0.00621 0.00638
40101 0.00615 0.00639
40201 0.00602 0.00637
40301 0.00611 0.00642
40401 0.00609 0.00643
40501 0.00603 0.00646
40601 0.00597 0.00643
40701 0.00623 0.00648
40801 0.00623 0.00648
40901 0.00608 0.00648
41001 0.00626 0.00651
41101 0.00623 0.00655
41201 0.00630 0.00647
41301 0.00628 0.00656
41401 0.00630 0.00657
41501 0.00621 0.00662
41601 0.00614 0.00660
41701 0.00627 0.00661
41801 0.00643 0.00662
41901 0.00629 0.00667
42001 0.00647 0.00666
42101 0.00632 0.00669
42201 0.00627 0.00671
42301 0.00642 0.00672
42401 0.00645 0.00673
42501 0.00633 0.00674
42601 0.00657 0.00677
42701 0.00651 0.00680
42801 0.00657 0.00676
42901 0.00635 0.00680
43001 0.00651 0.00681
43101 0.00641 0.00680
43201 0.00647 0.00682
43301 0.00659 0.00683
43401 0.00666 0.00688
43501 0.00647 0.00691
43601 0.00653 0.00692
43701 0.00661 0.00696
43801 0.00644 0.00687
43901 0.00653 0.00695
44001 0.00662 0.00699
44101 0.00679 0.00702
44201 0.00682 0.00703
44301 0.00668 0.00707
44401 0.00687 0.00709
44501 0.00671 0.00707
44601 0.00674 0.00710
44701 0.00662 0.00713
44801 0.00681 0.00712
44901 0.00681 0.00716
45001 0.00674 0.00713
45101 0.00664 0.00717
45201 0.00683 0.00715
45301 0.00691 0.00736
45401 0.00698 0.00720
45501 0.00689 0.00725
45601 0.00684 0.00723
45701 0.00692 0.00728
45801 0.00693 0.00727
45901 0.00696 0.00731
46001 0.00685 0.00738
46101 0.00683 0.00738
