vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00002 0.00002
201 0.00005 0.00004
301 0.00008 0.00006
401 0.00011 0.00008
501 0.00013 0.00009
601 0.00015 0.00011
701 0.00018 0.00013
801 0.00020 0.00014
901 0.00024 0.00018
1001 0.00022 0.00018
1101 0.00027 0.00022
1201 0.00030 0.00023
1301 0.00032 0.00025
1401 0.00035 0.00027
1501 0.00036 0.00029
1601 0.00039 0.00031
1701 0.00042 0.00032
1801 0.00045 0.00032
1901 0.00048 0.00036
2001 0.00051 0.00038
2101 0.00058 0.00042
2201 0.00064 0.00049
2301 0.00071 0.00055
2401 0.00074 0.00054
2501 0.00077 0.00060
2601 0.00081 0.00062
2701 0.00083 0.00057
2801 0.00085 0.00060
2901 0.00089 0.00059
3001 0.00091 0.00061
3101 0.00095 0.00062
3201 0.00093 0.00061
3301 0.00102 0.00075
3401 0.00105 0.00073
3501 0.00107 0.00083
3601 0.00105 0.00069
3701 0.00114 0.00077
3801 0.00115 0.00076
3901 0.00116 0.00078
4001 0.00113 0.00070
4101 0.00133 0.00080
4201 0.00129 0.00063
4301 0.00132 0.00062
4401 0.00134 0.00072
4501 0.00132 0.00057
4601 0.00142 0.00062
4701 0.00131 0.00059
4801 0.00134 0.00083
4901 0.00150 0.00071
5001 0.00148 0.00086
5101 0.00158 0.00081
5201 0.00149 0.00086
5301 0.00157 0.00071
5401 0.00164 0.00079
5501 0.00155 0.00082
5601 0.00154 0.00086
5701 0.00153 0.00092
5801 0.00171 0.00084
5901 0.00177 0.00079
6001 0.00164 0.00079
6101 0.00164 0.00081
6201 0.00165 0.00093
6301 0.00171 0.00082
6401 0.00186 0.00082
6501 0.00177 0.00085
6601 0.00176 0.00093
6701 0.00177 0.00088
6801 0.00180 0.00089
6901 0.00184 0.00090
7001 0.00190 0.00092
7101 0.00186 0.00092
7201 0.00195 0.00095
7301 0.00192 0.00095
7401 0.00196 0.00096
7501 0.00197 0.00098
7601 0.00206 0.00097
7701 0.00197 0.00104
7801 0.00204 0.00103
7901 0.00202 0.00101
8001 0.00216 0.00103
8101 0.00212 0.00106
