vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00011 0.00011
201 0.00022 0.00022
301 0.00033 0.00032
401 0.00043 0.00043
501 0.00054 0.00054
601 0.00065 0.00064
701 0.00075 0.00075
801 0.00087 0.00086
901 0.00097 0.00097
1001 0.00107 0.00107
1101 0.00118 0.00118
1201 0.00136 0.00134
1301 0.00143 0.00139
1401 0.00159 0.00157
1501 0.00160 0.00161
1601 0.00171 0.00171
1701 0.00183 0.00182
1801 0.00192 0.00193
1901 0.00208 0.00207
2001 0.00218 0.00221
2101 0.00232 0.00229
2201 0.00236 0.00237
2301 0.00254 0.00255
2401 0.00258 0.00258
2501 0.00280 0.00276
2601 0.00283 0.00283
2701 0.00294 0.00295
2801 0.00301 0.00301
2901 0.00312 0.00313
3001 0.00326 0.00327
3101 0.00334 0.00334
3201 0.00346 0.00344
3301 0.00355 0.00356
3401 0.00368 0.00366
3501 0.00392 0.00383
3601 0.00391 0.00393
3701 0.00407 0.00406
3801 0.00410 0.00411
3901 0.00422 0.00422
4001 0.00431 0.00430
4101 0.00441 0.00444
4201 0.00456 0.00455
4301 0.00464 0.00466
4401 0.00473 0.00474
4501 0.00490 0.00489
4601 0.00497 0.00498
4701 0.00511 0.00512
4801 0.00521 0.00520
4901 0.00529 0.00528
5001 0.00541 0.00545
5101 0.00554 0.00555
5201 0.00566 0.00571
5301 0.00573 0.00574
5401 0.00582 0.00583
5501 0.00597 0.00596
5601 0.00604 0.00604
5701 0.00618 0.00618
5801 0.00624 0.00625
5901 0.00639 0.00642
6001 0.00646 0.00644
6101 0.00661 0.00663
6201 0.00669 0.00671
6301 0.00692 0.00696
6401 0.00692 0.00693
6501 0.00708 0.00708
6601 0.00711 0.00715
6701 0.00725 0.00724
6801 0.00737 0.00736
6901 0.00747 0.00751
7001 0.00758 0.00757
7101 0.00778 0.00770
7201 0.00792 0.00796
7301 0.00799 0.00804
7401 0.00813 0.00814
7501 0.00812 0.00811
7601 0.00820 0.00826
7701 0.00829 0.00828
7801 0.00844 0.00846
7901 0.00849 0.00853
8001 0.00864 0.00865
8101 0.00883 0.00883
8201 0.00895 0.00897
8301 0.00894 0.00895
8401 0.00914 0.00916
8501 0.00914 0.00916
8601 0.00944 0.00939
8701 0.00937 0.00938
8801 0.00953 0.00948
8901 0.00961 0.00965
9001 0.00979 0.00982
9101 0.00992 0.00987
9201 0.01000 0.00996
9301 0.01005 0.01009
9401 0.01039 0.01026
9501 0.01033 0.01032
9601 0.01043 0.01048
9701 0.01058 0.01061
9801 0.01060 0.01060
9901 0.01075 0.01077
10001 0.01094 0.01090
10101 0.01093 0.01091
10201 0.01106 0.01102
10301 0.01121 0.01119
10401 0.01123 0.01124
10501 0.01140 0.01136
10601 0.01142 0.01146
10701 0.01161 0.01162
10801 0.01169 0.01173
10901 0.01178 0.01180
11001 0.01192 0.01192
11101 0.01199 0.01199
11201 0.01209 0.01213
11301 0.01219 0.01229
11401 0.01260 0.01244
11501 0.01253 0.01255
11601 0.01248 0.01250
11701 0.01266 0.01265
11801 0.01272 0.01274
11901 0.01283 0.01288
12001 0.01313 0.01303
12101 0.01310 0.01306
12201 0.01380 0.01377
12301 0.01334 0.01339
12401 0.01347 0.01351
12501 0.01387 0.01350
12601 0.01376 0.01369
12701 0.01369 0.01374
12801 0.01405 0.01400
12901 0.01397 0.01398
13001 0.01407 0.01405
13101 0.01421 0.01415
13201 0.01435 0.01429
13301 0.01442 0.01445
13401 0.01454 0.01445
13501 0.01459 0.01453
13601 0.01474 0.01472
13701 0.01483 0.01477
13801 0.01496 0.01494
13901 0.01512 0.01511
14001 0.01538 0.01525
14101 0.01529 0.01525
14201 0.01538 0.01540
14301 0.01541 0.01545
14401 0.01560 0.01561
14501 0.01571 0.01564
14601 0.01607 0.01579
14701 0.01587 0.01588
14801 0.01605 0.01604
14901 0.01605 0.01610
15001 0.01620 0.01614
15101 0.01679 0.01636
15201 0.01639 0.01634
15301 0.01662 0.01666
15401 0.01687 0.01666
15501 0.01680 0.01673
15601 0.01725 0.01702
15701 0.01693 0.01687
15801 0.01703 0.01700
15901 0.01713 0.01721
16001 0.01724 0.01726
16101 0.01749 0.01744
16201 0.01756 0.01752
16301 0.01774 0.01777
16401 0.01789 0.01781
16501 0.01807 0.01807
16601 0.01794 0.01795
16701 0.01814 0.01804
16801 0.01829 0.01822
16901 0.01834 0.01828
17001 0.01853 0.01845
17101 0.01869 0.01853
17201 0.01875 0.01857
17301 0.01890 0.01884
17401 0.01915 0.01897
17501 0.01905 0.01900
17601 0.01933 0.01910
17701 0.01922 0.01917
17801 0.01921 0.01918
17901 0.01941 0.01949
18001 0.01942 0.01937
18101 0.01970 0.01962
18201 0.01980 0.01963
18301 0.01981 0.01979
18401 0.02000 0.01990
18501 0.02059 0.02020
18601 0.02031 0.02026
18701 0.02035 0.02030
18801 0.02036 0.02028
18901 0.02076 0.02045
19001 0.02070 0.02061
19101 0.02088 0.02079
19201 0.02090 0.02083
19301 0.02101 0.02096
19401 0.02121 0.02111
19501 0.02118 0.02108
19601 0.02118 0.02108
19701 0.02153 0.02147
19801 0.02162 0.02144
19901 0.02166 0.02160
20001 0.02162 0.02160
20101 0.02180 0.02172
20201 0.02175 0.02198
20301 0.02195 0.02190
20401 0.02214 0.02205
20501 0.02248 0.02229
20601 0.02233 0.02229
20701 0.02251 0.02246
20801 0.02274 0.02246
20901 0.02291 0.02276
21001 0.02285 0.02277
21101 0.02301 0.02291
21201 0.02305 0.02300
21301 0.02303 0.02295
21401 0.02329 0.02323
21501 0.02330 0.02328
21601 0.02349 0.02337
21701 0.02356 0.02349
21801 0.02357 0.02355
21901 0.02372 0.02366
22001 0.02380 0.02378
22101 0.02396 0.02399
22201 0.02403 0.02393
