vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00034 0.00033
201 0.00065 0.00066
301 0.00099 0.00098
401 0.00131 0.00130
501 0.00165 0.00163
601 0.00196 0.00195
701 0.00228 0.00227
801 0.00261 0.00259
901 0.00296 0.00292
1001 0.00325 0.00325
1101 0.00357 0.00359
1201 0.00391 0.00389
1301 0.00422 0.00424
1401 0.00454 0.00454
1501 0.00487 0.00488
1601 0.00520 0.00522
1701 0.00552 0.00556
1801 0.00584 0.00587
1901 0.00617 0.00619
2001 0.00649 0.00651
2101 0.00683 0.00684
2201 0.00714 0.00717
2301 0.00748 0.00748
2401 0.00782 0.00784
2501 0.00812 0.00814
2601 0.00846 0.00845
2701 0.00876 0.00879
2801 0.00911 0.00909
2901 0.00945 0.00940
3001 0.00976 0.00972
3101 0.01007 0.01005
3201 0.01044 0.01038
3301 0.01073 0.01073
3401 0.01108 0.01101
3501 0.01139 0.01132
3601 0.01178 0.01172
3701 0.01202 0.01197
3801 0.01234 0.01229
3901 0.01267 0.01262
4001 0.01300 0.01293
4101 0.01332 0.01327
4201 0.01365 0.01358
4301 0.01397 0.01391
4401 0.01429 0.01423
4501 0.01460 0.01454
4601 0.01498 0.01493
4701 0.01525 0.01519
4801 0.01558 0.01554
4901 0.01588 0.01584
5001 0.01624 0.01618
5101 0.01658 0.01624
5201 0.01689 0.01682
5301 0.01720 0.01714
5401 0.01757 0.01747
5501 0.01782 0.01777
5601 0.01821 0.01811
5701 0.01849 0.01846
5801 0.01880 0.01866
5901 0.01917 0.01908
6001 0.01948 0.01939
6101 0.01980 0.01974
6201 0.02015 0.02006
6301 0.02044 0.02046
6401 0.02078 0.02030
6501 0.02110 0.02094
6601 0.02143 0.02075
6701 0.02178 0.02149
6801 0.02214 0.02158
6901 0.02239 0.02150
7001 0.02270 0.02260
7101 0.02303 0.02255
7201 0.02337 0.02281
7301 0.02366 0.02272
7401 0.02396 0.02283
7501 0.02433 0.02371
7601 0.02465 0.02361
7701 0.02497 0.02418
7801 0.02528 0.02411
7901 0.02563 0.02555
8001 0.02595 0.02490
8101 0.02628 0.02517
8201 0.02649 0.02448
8301 0.02694 0.02621
8401 0.02723 0.02627
8501 0.02755 0.02678
8601 0.02789 0.02682
8701 0.02819 0.02670
8801 0.02851 0.02712
8901 0.02894 0.02758
9001 0.02916 0.02733
9101 0.02950 0.02736
9201 0.02982 0.02866
9301 0.03013 0.02893
9401 0.03044 0.02974
9501 0.03083 0.02946
9601 0.03109 0.02945
9701 0.03155 0.02973
9801 0.03179 0.02965
9901 0.03210 0.03028
10001 0.03236 0.03034
10101 0.03258 0.03039
10201 0.03306 0.03065
10301 0.03333 0.03139
10401 0.03360 0.03117
10501 0.03400 0.03140
10601 0.03453 0.03201
10701 0.03439 0.03210
10801 0.03495 0.03241
10901 0.03542 0.03323
11001 0.03564 0.03329
11101 0.03589 0.03332
11201 0.03592 0.03357
11301 0.03634 0.03410
11401 0.03697 0.03643
11501 0.03672 0.03434
11601 0.03695 0.03473
11701 0.03746 0.03510
11801 0.03781 0.03522
11901 0.03824 0.03570
12001 0.03816 0.03590
12101 0.03875 0.03633
12201 0.03915 0.03646
12301 0.03996 0.03786
12401 0.03967 0.03704
12501 0.04020 0.03731
12601 0.04026 0.03773
12701 0.04108 0.03795
12801 0.04119 0.03841
12901 0.04080 0.03843
13001 0.04182 0.03909
13101 0.04231 0.04108
13201 0.04177 0.03971
13301 0.04237 0.03964
13401 0.04262 0.04003
13501 0.04278 0.04020
13601 0.04315 0.04069
13701 0.04355 0.04080
13801 0.04393 0.04151
13901 0.04406 0.04401
14001 0.04510 0.04175
14101 0.04506 0.04218
14201 0.04534 0.04236
14301 0.04625 0.04314
14401 0.04571 0.04373
14501 0.04596 0.04316
14601 0.04618 0.04350
14701 0.04717 0.04383
14801 0.04656 0.04494
14901 0.04725 0.04436
15001 0.04714 0.04477
15101 0.04761 0.04517
15201 0.04784 0.04723
15301 0.04906 0.04590
15401 0.04990 0.04600
15501 0.05005 0.04745
15601 0.04991 0.04715
15701 0.04999 0.04741
15801 0.05077 0.04753
15901 0.05023 0.04786
16001 0.05115 0.04780
16101 0.05143 0.04795
16201 0.05130 0.04837
16301 0.05127 0.04866
16401 0.05197 0.04899
16501 0.05224 0.04983
