vectorsize sequential_time parallel_time
1 0.00000 0.00000
101 0.00033 0.00033
201 0.00065 0.00066
301 0.00098 0.00098
401 0.00133 0.00130
501 0.00164 0.00162
601 0.00196 0.00195
701 0.00227 0.00228
801 0.00261 0.00259
901 0.00294 0.00292
1001 0.00326 0.00325
1101 0.00357 0.00358
1201 0.00390 0.00389
1301 0.00422 0.00422
1401 0.00456 0.00456
1501 0.00487 0.00489
1601 0.00521 0.00520
1701 0.00561 0.00565
1801 0.00584 0.00587
1901 0.00617 0.00619
2001 0.00649 0.00651
2101 0.00684 0.00682
2201 0.00719 0.00716
2301 0.00749 0.00748
2401 0.00782 0.00780
2501 0.00814 0.00813
2601 0.00847 0.00845
2701 0.00881 0.00876
2801 0.00912 0.00908
2901 0.00948 0.00941
3001 0.00980 0.00971
3101 0.01009 0.01006
3201 0.01040 0.01038
3301 0.01075 0.01072
3401 0.01106 0.01104
3501 0.01139 0.01140
3601 0.01172 0.01166
3701 0.01207 0.01200
3801 0.01235 0.01232
3901 0.01270 0.01261
4001 0.01301 0.01294
4101 0.01339 0.01335
4201 0.01364 0.01358
4301 0.01402 0.01396
4401 0.01430 0.01423
4501 0.01461 0.01451
4601 0.01495 0.01490
4701 0.01529 0.01521
4801 0.01560 0.01552
4901 0.01591 0.01587
5001 0.01622 0.01616
5101 0.01656 0.01650
5201 0.01689 0.01645
5301 0.01722 0.01719
5401 0.01756 0.01700
5501 0.01786 0.01782
5601 0.01820 0.01799
5701 0.01851 0.01827
5801 0.01886 0.01843
5901 0.01914 0.01828
6001 0.01948 0.01867
6101 0.01987 0.01911
6201 0.02012 0.01933
6301 0.02045 0.02029
6401 0.02077 0.02014
6501 0.02115 0.02061
6601 0.02143 0.02028
6701 0.02173 0.02084
6801 0.02206 0.02130
6901 0.02238 0.02132
7001 0.02268 0.02180
7101 0.02306 0.02215
7201 0.02339 0.02198
7301 0.02367 0.02237
7401 0.02400 0.02334
7501 0.02433 0.02367
7601 0.02465 0.02401
7701 0.02496 0.02361
7801 0.02533 0.02422
7901 0.02560 0.02442
8001 0.02595 0.02453
8101 0.02627 0.02537
8201 0.02658 0.02485
8301 0.02694 0.02549
8401 0.02728 0.02545
8501 0.02756 0.02613
8601 0.02793 0.02650
8701 0.02821 0.02750
8801 0.02854 0.02666
8901 0.02864 0.02701
9001 0.02918 0.02754
9101 0.02944 0.02758
9201 0.03011 0.02823
9301 0.03006 0.02836
9401 0.03033 0.02942
9501 0.03078 0.03071
9601 0.03119 0.03112
9701 0.03144 0.03135
9801 0.03181 0.03170
9901 0.03213 0.03060
10001 0.03234 0.03010
10101 0.03274 0.03169
10201 0.03310 0.03085
10301 0.03326 0.03083
10401 0.03339 0.03100
10501 0.03410 0.03210
10601 0.03442 0.03241
10701 0.03392 0.03190
10801 0.03500 0.03245
10901 0.03472 0.03261
11001 0.03564 0.03306
11101 0.03562 0.03339
11201 0.03592 0.03351
11301 0.03589 0.03368
11401 0.03651 0.03425
11501 0.03684 0.03439
11601 0.03719 0.03488
11701 0.03779 0.03514
11801 0.03762 0.03520
11901 0.03801 0.03548
12001 0.03824 0.03589
12101 0.03827 0.03605
12201 0.03934 0.03652
12301 0.03950 0.03684
12401 0.03930 0.03701
12501 0.03967 0.03752
12601 0.04007 0.03771
12701 0.04020 0.03801
12801 0.04073 0.03820
12901 0.04091 0.03849
13001 0.04124 0.03877
13101 0.04170 0.03905
13201 0.04198 0.03972
13301 0.04262 0.03963
13401 0.04238 0.03994
13501 0.04307 0.04027
13601 0.04298 0.04068
13701 0.04359 0.04083
13801 0.04416 0.04127
13901 0.04463 0.04152
14001 0.04463 0.04184
14101 0.04445 0.04200
14201 0.04482 0.04237
14301 0.04477 0.04268
14401 0.04537 0.04305
14501 0.04623 0.04670
14601 0.04732 0.04685
14701 0.04766 0.04502
14801 0.04807 0.04723
14901 0.04832 0.04716
15001 0.04860 0.04851
15101 0.04894 0.04890
15201 0.04887 0.04859
15301 0.04968 0.04907
15401 0.04956 0.04785
15501 0.05023 0.04867
15601 0.05053 0.05045
15701 0.05090 0.05055
15801 0.05084 0.04835
15901 0.05156 0.05141
16001 0.05108 0.04778
16101 0.05049 0.04814
16201 0.05070 0.04830
16301 0.05139 0.04861
16401 0.05171 0.04899
16501 0.05161 0.04937
16601 0.05198 0.04950
16701 0.05221 0.04991
16801 0.05312 0.05059
16901 0.05262 0.05048
17001 0.05314 0.05077
17101 0.05332 0.05099
17201 0.05379 0.05132
17301 0.05433 0.05160
17401 0.05464 0.05216
17501 0.05460 0.05224
17601 0.05520 0.05256
17701 0.05595 0.05284
17801 0.05594 0.05316
17901 0.05608 0.05347
18001 0.05609 0.05407
18101 0.05623 0.05399
18201 0.05687 0.05434
18301 0.05701 0.05462
18401 0.05757 0.05495
18501 0.05806 0.05523
